country,scenario_text,scenario_id,question,trait
japan,"At a Shinto shrine festival, a young boy eagerly listens to the stories of the elders about the village's history and customs, understanding his role in conserving these tales.",4,Assume you are in the position of the young boy who has been tasked with remembering and documenting the stories told by the elders. What steps do you take to ensure that you accurately preserve these narratives for future generations?,Conscientiousness
japan,"At a Shinto shrine festival, a young boy eagerly listens to the stories of the elders about the village's history and customs, understanding his role in conserving these tales.",4,Consider yourself mingling at the Shinto shrine festival when you notice a group of children interested in the ongoing stories. How do you engage with them and share your passion for these tales?,Extraversion
japan,"At a Shinto shrine festival, a young boy eagerly listens to the stories of the elders about the village's history and customs, understanding his role in conserving these tales.",4,"Picture yourself listening to the elders tell stories at the festival, and they invite you to share your own thoughts or experiences related to the village traditions. How do you approach participating in this conversation?",Agreeableness
japan,"At a Shinto shrine festival, a young boy eagerly listens to the stories of the elders about the village's history and customs, understanding his role in conserving these tales.",4,"Imagine you are at the festival, feeling overwhelmed by the responsibilities of preserving the village's stories. What thoughts run through your mind, and how do you manage your emotions in this scenario?",Neuroticism
japan,"When making significant decisions, a junior worker consults with the senior team leader to ensure alignment with company values and gathers valuable insights from their extensive experience.",5,"Imagine you are the junior worker discussing a project proposal with your senior team leader. They suggest a traditional approach, but you have a creative, unconventional idea in mind. How do you handle the situation?",Openness to Experience
japan,"When making significant decisions, a junior worker consults with the senior team leader to ensure alignment with company values and gathers valuable insights from their extensive experience.",5,Assume you are in the position of the junior worker and are tasked with making a decision that aligns with the company values. How do you ensure that you leave no detail overlooked while validating this alignment?,Conscientiousness
japan,"When making significant decisions, a junior worker consults with the senior team leader to ensure alignment with company values and gathers valuable insights from their extensive experience.",5,Imagine you are the junior worker and you have an opportunity to present ideas to the senior team leader in a group meeting. How do you approach communicating your thoughts during this interaction?,Extraversion
japan,"When making significant decisions, a junior worker consults with the senior team leader to ensure alignment with company values and gathers valuable insights from their extensive experience.",5,"Assume you are the junior worker discussing an idea with the senior team leader and they disagree with your perspective. How do you respond to ensure a harmonious relationship, while conveying your point?",Agreeableness
japan,"When making significant decisions, a junior worker consults with the senior team leader to ensure alignment with company values and gathers valuable insights from their extensive experience.",5,Imagine you face a setback after consulting with your senior team leader and realizing you may have misinterpreted some key information. How do you manage your emotions and proceed with resolving this issue?,Neuroticism
japan,"In a traditional family business, the youngest generation sits silently and attentively in business meetings, absorbing knowledge and guidance from the family patriarch who has led the company for decades.",6,"Imagine you are part of the youngest generation in a traditional Japanese family business. During a meeting, the family patriarch introduces a radical new idea that challenges conventional business methods. How do you react to this new idea?",Openness to Experience
japan,"In a traditional family business, the youngest generation sits silently and attentively in business meetings, absorbing knowledge and guidance from the family patriarch who has led the company for decades.",6,Assume you are responsible for documenting the insights shared during meetings by the family patriarch. How do you ensure that critical information is accurately and thoroughly recorded for future reference?,Conscientiousness
japan,"In a traditional family business, the youngest generation sits silently and attentively in business meetings, absorbing knowledge and guidance from the family patriarch who has led the company for decades.",6,"Imagine you are encouraged to share your thoughts during a business meeting in front of the entire family, including the respected patriarch. How do you approach this opportunity to speak?",Extraversion
japan,"In a traditional family business, the youngest generation sits silently and attentively in business meetings, absorbing knowledge and guidance from the family patriarch who has led the company for decades.",6,Assume you witness a disagreement between two family members during a meeting. How do you approach finding a resolution while maintaining harmony within the family business?,Agreeableness
japan,"In a traditional family business, the youngest generation sits silently and attentively in business meetings, absorbing knowledge and guidance from the family patriarch who has led the company for decades.",6,Picture yourself feeling uncertain and anxious after hearing about recent company challenges from the family patriarch. How do you manage your emotions and address your concerns?,Neuroticism
japan,"Before a student graduates, they present a gratitude letter to their sensei, showing appreciation for their guidance and expressing a commitment to applying the lessons learned.",7,Imagine you are writing a gratitude letter to your sensei. How would you incorporate any creative or unconventional ideas to express your appreciation and the impact of your sensei’s teachings on you?,Openness to Experience
japan,"Before a student graduates, they present a gratitude letter to their sensei, showing appreciation for their guidance and expressing a commitment to applying the lessons learned.",7,Assume you are organizing your thoughts to write the gratitude letter to your sensei. How would you structure your letter to ensure it is well-organized and clearly conveys your message of gratitude?,Conscientiousness
japan,"Before a student graduates, they present a gratitude letter to their sensei, showing appreciation for their guidance and expressing a commitment to applying the lessons learned.",7,Imagine you are in the position of expressing your gratitude to your sensei in person before you graduate. How would you approach this interaction and what would your demeanor be like?,Extraversion
japan,"Before a student graduates, they present a gratitude letter to their sensei, showing appreciation for their guidance and expressing a commitment to applying the lessons learned.",7,Assume you are writing the letter with the intent of fostering a harmonious and positive relationship with your sensei. What phrases or sentiments would you include to show your appreciation and respect?,Agreeableness
japan,"Before a student graduates, they present a gratitude letter to their sensei, showing appreciation for their guidance and expressing a commitment to applying the lessons learned.",7,Imagine you are feeling anxious about whether your gratitude letter effectively conveys your appreciation to your sensei. How might you manage these emotions while writing the letter?,Neuroticism
japan,"While navigating a crowded train, a young commuter offers their seat to an elderly passenger without hesitation, recognizing the need to prioritize comfort for seniors in public spaces.",8,"Imagine you are riding the crowded morning train in Japan, and you observe a creative street performer entering the carriage. How do you react to their unique form of entertainment while the train progresses through its route?",Openness to Experience
japan,"While navigating a crowded train, a young commuter offers their seat to an elderly passenger without hesitation, recognizing the need to prioritize comfort for seniors in public spaces.",8,Assume you are in the position of the young commuter on the crowded Japanese train. You notice the elderly person looking unsteady. How do you ensure their safety while considering the dynamics of the crowded space?,Conscientiousness
japan,"While navigating a crowded train, a young commuter offers their seat to an elderly passenger without hesitation, recognizing the need to prioritize comfort for seniors in public spaces.",8,"While navigating the packed train, you spot a familiar face from work you've never spoken to. How do you engage with them, if at all, in this closely confined environment where social interactions are often minimized?",Extraversion
japan,"While navigating a crowded train, a young commuter offers their seat to an elderly passenger without hesitation, recognizing the need to prioritize comfort for seniors in public spaces.",8,"Imagine that due to the limited seating on the train, you and the elderly passenger arrive at your stops simultaneously. What approach do you take to resolve any potential conflict involving the remaining seats and everyone's comfort?",Agreeableness
japan,"While navigating a crowded train, a young commuter offers their seat to an elderly passenger without hesitation, recognizing the need to prioritize comfort for seniors in public spaces.",8,"Assume you notice the train suddenly lurching, causing a few passengers to lose their balance. How do you handle the stress of the situation, particularly if it disrupts your journey or causes concern for other passengers around you?",Neuroticism
japan,"In a calligraphy class, students watch their master demonstrate techniques with careful attention, revering the skill and experience that is evident in every stroke made.",9,"Imagine you are a student in the calligraphy class, watching your master demonstrate a traditional technique. After the class, you have the opportunity to explore the studio and experiment with various modern tools and styles. How would you approach this opportunity?",Openness to Experience
japan,"In a calligraphy class, students watch their master demonstrate techniques with careful attention, revering the skill and experience that is evident in every stroke made.",9,Assume you are tasked with practicing the calligraphy technique demonstrated in class. You have set aside a time each day for this purpose to perfect your skills before the next session. How might you ensure consistent practice and track your progress?,Conscientiousness
japan,"In a calligraphy class, students watch their master demonstrate techniques with careful attention, revering the skill and experience that is evident in every stroke made.",9,"Imagine the class is paused for a brief break. You notice some students are discussing the demonstration excitedly. How would you engage with them, and what topics related to the calligraphy demonstration might you bring up?",Extraversion
japan,"In a calligraphy class, students watch their master demonstrate techniques with careful attention, revering the skill and experience that is evident in every stroke made.",9,"Assume during the class, one of your peers seems to struggle with the techniques shown by the master. How would you approach offering assistance or support to them, if at all?",Agreeableness
japan,"In a calligraphy class, students watch their master demonstrate techniques with careful attention, revering the skill and experience that is evident in every stroke made.",9,"Imagine after several attempts, your strokes still don't quite match the precision of what was demonstrated. How would you handle your feelings about this, and what actions might you take moving forward?",Neuroticism
japan,"A Japanese businessman arrives for a meeting ten minutes early, uses the time to review notes, and places his phone on silent to avoid distractions during the meeting.",10,"Imagine you are the businessman and you notice a new, innovative product at the office that could potentially help your company. Do you take the opportunity to explore it during your wait, or would you focus solely on your meeting preparation?",Openness to Experience
japan,"A Japanese businessman arrives for a meeting ten minutes early, uses the time to review notes, and places his phone on silent to avoid distractions during the meeting.",10,"Assume you are in the position of the businessman and you recall an additional task you need to accomplish before the meeting. Would you address the task risking a rush, or stick to your planned preparation routine?",Conscientiousness
japan,"A Japanese businessman arrives for a meeting ten minutes early, uses the time to review notes, and places his phone on silent to avoid distractions during the meeting.",10,Imagine you are the businessman arriving early and notice several colleagues gathering nearby. Would you prefer to engage in conversation with them or continue to quietly review your notes alone?,Extraversion
japan,"A Japanese businessman arrives for a meeting ten minutes early, uses the time to review notes, and places his phone on silent to avoid distractions during the meeting.",10,"Assume you are the businessman and during your wait, a junior colleague approaches you for advice. Would you willingly assist them despite the approaching meeting, or prioritize your preparation time?",Agreeableness
japan,"A Japanese businessman arrives for a meeting ten minutes early, uses the time to review notes, and places his phone on silent to avoid distractions during the meeting.",10,"Imagine you are the businessman preparing just before the meeting, and a concern arises about possibly forgetting some details. Do you remain calm and rely on your notes, or stress about the possibility of not recalling the information perfectly?",Neuroticism
japan,"At a train station, passengers line up systematically in advance, and when the train arrives exactly on time, they board in an orderly fashion without causing delays.",11,Imagine you are at a Japanese train station and notice a unique art exhibit showcasing traditional and contemporary Japanese culture. How would you choose to engage with this unexpected experience while waiting for your train?,Openness to Experience
japan,"At a train station, passengers line up systematically in advance, and when the train arrives exactly on time, they board in an orderly fashion without causing delays.",11,Assume you are in the position of a passenger at a Japanese train station. You observe a distinct queue for boarding. How meticulous are you in ensuring you follow the queue rules and contribute to the orderly boarding process?,Conscientiousness
japan,"At a train station, passengers line up systematically in advance, and when the train arrives exactly on time, they board in an orderly fashion without causing delays.",11,"At the station, you find yourself standing next to someone who shares your destination. How inclined are you to strike up a conversation with them while waiting for the train to arrive?",Extraversion
japan,"At a train station, passengers line up systematically in advance, and when the train arrives exactly on time, they board in an orderly fashion without causing delays.",11,Imagine the train platform becomes unexpectedly crowded. How do you navigate this situation while ensuring you remain considerate and accommodating to the people around you?,Agreeableness
japan,"At a train station, passengers line up systematically in advance, and when the train arrives exactly on time, they board in an orderly fashion without causing delays.",11,"Assume you’re waiting for your train and it arrives exactly on time as scheduled. How do you respond internally to this punctuality, especially if it is a high-stress day for you?",Neuroticism
japan,"A student in Japan reaches school early, taking advantage of this time to study quietly in the library before classes commence, ensuring they're ready for the day.",12,"Imagine you are the student who arrives early at school, and you spot an art exhibit being set up in the library showcasing innovative creations. How do you make use of your time with this unexpected opportunity before classes start?",Openness to Experience
japan,"A student in Japan reaches school early, taking advantage of this time to study quietly in the library before classes commence, ensuring they're ready for the day.",12,Assume you are the student who uses the early hour to organize your study plan and prioritize tasks for the day. How do you decide which subject or topic to focus on first as you prepare for your classes?,Conscientiousness
japan,"A student in Japan reaches school early, taking advantage of this time to study quietly in the library before classes commence, ensuring they're ready for the day.",12,"Imagine you're the student who arrives early and meets a few classmates already in the library. How do you choose to interact with them, if at all, while still maintaining your focus on preparation for the day's lessons?",Extraversion
japan,"A student in Japan reaches school early, taking advantage of this time to study quietly in the library before classes commence, ensuring they're ready for the day.",12,Assume you are the student preparing in the library when a friend asks for help with their homework. How do you respond to their request while considering your own study goals before school starts?,Agreeableness
japan,"A student in Japan reaches school early, taking advantage of this time to study quietly in the library before classes commence, ensuring they're ready for the day.",12,"Imagine you are the student who reaches the library early, but you start feeling anxious about a big presentation later in the day. How do you manage your feelings and keep yourself composed to make the most out of your study time?",Neuroticism
japan,"For a family event, guests arrive precisely at the stated start time, and the host ensures everything is ready to begin the moment the clock strikes.",13,Imagine you are attending the family event and you arrive early. The host offers you the opportunity to help set up or explore the surrounding area to discover something new about the local culture. What do you do?,Openness to Experience
japan,"For a family event, guests arrive precisely at the stated start time, and the host ensures everything is ready to begin the moment the clock strikes.",13,Assume you are in charge of bringing a traditional dish to the event. You realize on the morning of the event that you left one important ingredient out of the dish. How do you handle this situation as the start time approaches?,Conscientiousness
japan,"For a family event, guests arrive precisely at the stated start time, and the host ensures everything is ready to begin the moment the clock strikes.",13,"Imagine you are at the event, and everyone arrives right on time, bustling with energy. There is an icebreaker activity at the start. How do you respond to kick off the event with enthusiasm among others who have just arrived?",Extraversion
japan,"For a family event, guests arrive precisely at the stated start time, and the host ensures everything is ready to begin the moment the clock strikes.",13,"Assume you are at the event and a family member, who is usually reserved, is hesitant to join the group activity. How do you approach this situation to make them feel more comfortable and included?",Agreeableness
japan,"For a family event, guests arrive precisely at the stated start time, and the host ensures everything is ready to begin the moment the clock strikes.",13,"Imagine you are preparing to attend the event, and you are feeling a bit anxious about meeting some relatives you haven't seen in a while. As the time to leave approaches, how do you cope with these feelings and still manage to arrive precisely on time?",Neuroticism
japan,"During a traditional tea ceremony, participants arrive early to observe the preparation process, integrating seamlessly into the ceremony's harmonious flow once it begins.",14,Imagine you are attending a traditional tea ceremony for the first time and are captivated by the intricate details of the tea preparation. How do you engage with the experience and what thoughts or emotions arise as you observe the customs and rituals?,Openness to Experience
japan,"During a traditional tea ceremony, participants arrive early to observe the preparation process, integrating seamlessly into the ceremony's harmonious flow once it begins.",14,"Assume you are in the position of assisting with the organization of the tea ceremony. How do you ensure everything proceeds smoothly, and what steps do you take to maintain the traditional order and precision during the event?",Conscientiousness
japan,"During a traditional tea ceremony, participants arrive early to observe the preparation process, integrating seamlessly into the ceremony's harmonious flow once it begins.",14,"Imagine you are one of the guests at the tea ceremony, and you notice others feeling slightly nervous or reserved. How do you interact with the other participants to create a warm and engaging atmosphere?",Extraversion
japan,"During a traditional tea ceremony, participants arrive early to observe the preparation process, integrating seamlessly into the ceremony's harmonious flow once it begins.",14,"During the tea ceremony, you notice someone struggling with understanding the etiquette. How do you approach the situation, and what actions do you take to ensure they feel comfortable and accepted in the group?",Agreeableness
japan,"During a traditional tea ceremony, participants arrive early to observe the preparation process, integrating seamlessly into the ceremony's harmonious flow once it begins.",14,"Assume you're participating in the tea ceremony and accidentally make a small mistake in following the ritual. How do you react internally, and what actions do you take to manage your feelings while remaining respectful and present in the ceremony?",Neuroticism
japan,"In a corporate workshop, Japanese participants synchronize their arrival with the session's schedule, ensuring they're seated before the facilitator begins.",15,"Imagine you are attending a corporate workshop in Japan, and the facilitator introduces an unconventional team activity that involves creative problem-solving. How do you approach this activity, and what role do you prefer to take on in your team?",Openness to Experience
japan,"In a corporate workshop, Japanese participants synchronize their arrival with the session's schedule, ensuring they're seated before the facilitator begins.",15,"Assume you are preparing to attend a corporate workshop in Japan, where punctuality and preparation are critical. How do you ensure that you are well-prepared and arrive on time for the session?",Conscientiousness
japan,"In a corporate workshop, Japanese participants synchronize their arrival with the session's schedule, ensuring they're seated before the facilitator begins.",15,"Imagine you are in a workshop session in Japan where participants are encouraged to engage in group discussions. How do you contribute to the collaborative atmosphere, and what strategy do you use to express your ideas?",Extraversion
japan,"In a corporate workshop, Japanese participants synchronize their arrival with the session's schedule, ensuring they're seated before the facilitator begins.",15,"Assume you are seated in a corporate workshop in Japan, and a fellow participant who you don’t know well asks for help understanding a complex topic. How do you respond to their request for assistance?",Agreeableness
japan,"In a corporate workshop, Japanese participants synchronize their arrival with the session's schedule, ensuring they're seated before the facilitator begins.",15,Imagine you are a participant in this Japanese corporate workshop when an unexpected technical issue causes a delay in the schedule. How do you manage your reaction to this sudden disruption?,Neuroticism
japan,"When workers arrive at their office, they greet colleagues and start work promptly at the official start time, maintaining a smooth flow of operations throughout the day.",16,Imagine you are in an office in Japan where everyone follows a routine. You notice a team member using an unusual new tool that enhances productivity. How do you approach this situation?,Openness to Experience
japan,"When workers arrive at their office, they greet colleagues and start work promptly at the official start time, maintaining a smooth flow of operations throughout the day.",16,"Assume you are in charge of maintaining operations at a Japanese office, ensuring everyone stays on track. Midday, you notice some tasks might not be completed on time. What steps do you take to address this?",Conscientiousness
japan,"When workers arrive at their office, they greet colleagues and start work promptly at the official start time, maintaining a smooth flow of operations throughout the day.",16,"[Question(trait='Extraversion', question='Imagine you are starting your day at a Japanese office where maintaining a smooth workflow is essential. Assume you have the opportunity to participate in organizing a team activity meant to foster collaboration. How do you approach initiating and leading this activity? Describe the steps or interactions you would take to ensure both engagement and productivity.')]",Extraversion
japan,"When workers arrive at their office, they greet colleagues and start work promptly at the official start time, maintaining a smooth flow of operations throughout the day.",16,Imagine you are working in a Japanese office where a co-worker is struggling with their workload. They haven't asked for help yet. How do you respond to this situation?,Agreeableness
japan,"When workers arrive at their office, they greet colleagues and start work promptly at the official start time, maintaining a smooth flow of operations throughout the day.",16,Assume you are working in a Japanese office where last-minute changes to a project cause stress to the team. How do you handle your own stress and help others manage theirs in this situation?,Neuroticism
japan,"At a dentist appointment, a patient checks in a few minutes early and takes a seat in the waiting area; the dentist calls them in exactly on schedule, without any waiting time.",17,"Imagine you are at the dentist's office in Japan, known for its punctuality and efficiency. As you sit in the waiting room, you notice a small art exhibition featuring traditional Japanese paintings. Do you take the time to explore and appreciate the artworks before your appointment starts?",Openness to Experience
japan,"At a dentist appointment, a patient checks in a few minutes early and takes a seat in the waiting area; the dentist calls them in exactly on schedule, without any waiting time.",17,"Assume you are in the position of a patient at a Japanese dental clinic. As you’re called in exactly on time, you remember a question you had prepared about your dental hygiene routine. How likely are you to bring it up with the dentist during your appointment, ensuring you follow their guidance precisely?",Conscientiousness
japan,"At a dentist appointment, a patient checks in a few minutes early and takes a seat in the waiting area; the dentist calls them in exactly on schedule, without any waiting time.",17,"Imagine that, while waiting your turn at a Japanese dental clinic, another patient sits next to you. How comfortable do you feel initiating a friendly conversation, perhaps talking about the clinic's efficiency or the local area?",Extraversion
japan,"At a dentist appointment, a patient checks in a few minutes early and takes a seat in the waiting area; the dentist calls them in exactly on schedule, without any waiting time.",17,"Assume you are in the position where the receptionist mistakenly hands you someone else's dental records at a Japanese dental clinic. How do you respond, considering the importance of maintaining harmony and respecting others in Japanese culture?",Agreeableness
japan,"At a dentist appointment, a patient checks in a few minutes early and takes a seat in the waiting area; the dentist calls them in exactly on schedule, without any waiting time.",17,"Imagine you are at the Japanese dentist's office, feeling slightly anxious about the appointment and the possible dental procedure outcomes. How do you manage your feelings while sitting in the waiting area, knowing you will be called in right on time?",Neuroticism
japan,"Before a public performance, audience members arrive with time to spare, settling into their seats and perusing program notes as softly cueing lights indicate the show's onset.",18,"Imagine you are a performer in this Japanese show and have been given the opportunity to incorporate a traditional Japanese art form into your performance. How do you incorporate this element into the show, and what innovative twist might you add to captivate the audience?",Openness to Experience
japan,"Before a public performance, audience members arrive with time to spare, settling into their seats and perusing program notes as softly cueing lights indicate the show's onset.",18,"Assume you are in charge of organizing the event, ensuring everything runs smoothly. What steps do you take to ensure the audience has a seamless experience and that the performance starts on time given the cultural importance of punctuality in Japan?",Conscientiousness
japan,"Before a public performance, audience members arrive with time to spare, settling into their seats and perusing program notes as softly cueing lights indicate the show's onset.",18,"If you are an audience member attending the performance with a group of friends, how do you engage with them and other attendees before the show begins? Do you initiate conversations, share your thoughts on the program, or prefer to quietly absorb the atmosphere?",Extraversion
japan,"Before a public performance, audience members arrive with time to spare, settling into their seats and perusing program notes as softly cueing lights indicate the show's onset.",18,"Imagine you are seated next to someone unfamiliar with Japanese culture who has questions about the performance. How do you respond, and what effort do you make to ensure they have an enjoyable and informative experience?",Agreeableness
japan,"Before a public performance, audience members arrive with time to spare, settling into their seats and perusing program notes as softly cueing lights indicate the show's onset.",18,"As a performer just moments before taking the stage, how do you manage any last-minute nerves or anxiety about the show? Do you engage in specific rituals or rely on any techniques to remain calm and focused in the traditional Japanese setting?",Neuroticism
japan,"Colleagues meeting for lunch at a local restaurant arrive promptly and place their orders quickly, allowing enough time to enjoy the meal and return to work without delay.",19,Imagine you are at a restaurant in Japan for a lunch meeting. The menu presents both familiar dishes and exotic new options. How do you approach selecting your meal?,Openness to Experience
japan,"Colleagues meeting for lunch at a local restaurant arrive promptly and place their orders quickly, allowing enough time to enjoy the meal and return to work without delay.",19,Assume you are organizing the lunch with your colleagues. How do you ensure that the group efficiently places their orders and returns to work on time?,Conscientiousness
japan,"Colleagues meeting for lunch at a local restaurant arrive promptly and place their orders quickly, allowing enough time to enjoy the meal and return to work without delay.",19,Picture yourself sitting at the table during the lunch meeting. How do you engage your colleagues in conversation while waiting for your orders to arrive?,Extraversion
japan,"Colleagues meeting for lunch at a local restaurant arrive promptly and place their orders quickly, allowing enough time to enjoy the meal and return to work without delay.",19,Consider a situation where one of your colleagues seems hesitant about their order. How do you offer support or assistance to them during the lunch?,Agreeableness
japan,"Colleagues meeting for lunch at a local restaurant arrive promptly and place their orders quickly, allowing enough time to enjoy the meal and return to work without delay.",19,Imagine you are at the lunch and you realize your order is taking longer than others. How do you react to this situation without affecting your overall mood for the rest of the day?,Neuroticism
japan,"During a team meeting at a Japanese company, the manager notices differing opinions on a project direction. Instead of allowing the disagreement to escalate, they encourage a discussion where everyone can express their views calmly and reach a consensus that all team members feel comfortable with.",20,Imagine you are in the meeting and someone introduces a unique approach to the project that differs from traditional methods. How do you feel about exploring this unconventional idea and what would you suggest to the group?,Openness to Experience
japan,"During a team meeting at a Japanese company, the manager notices differing opinions on a project direction. Instead of allowing the disagreement to escalate, they encourage a discussion where everyone can express their views calmly and reach a consensus that all team members feel comfortable with.",20,"Assume you are in the position of ensuring project deadlines are met, and the ideas discussed seem to deviate from the original plan. How do you propose the team aligns creative ideas with deadlines while maintaining productivity?",Conscientiousness
japan,"During a team meeting at a Japanese company, the manager notices differing opinions on a project direction. Instead of allowing the disagreement to escalate, they encourage a discussion where everyone can express their views calmly and reach a consensus that all team members feel comfortable with.",20,"Imagine you’re in the middle of the discussion, and the room is tense with differing opinions. How do you engage with others to ensure the discussion remains lively and inclusive without escalating tensions?",Extraversion
japan,"During a team meeting at a Japanese company, the manager notices differing opinions on a project direction. Instead of allowing the disagreement to escalate, they encourage a discussion where everyone can express their views calmly and reach a consensus that all team members feel comfortable with.",20,"Picture yourself as a mediator in the meeting, aiming to reach a consensus. How would you encourage team members to express their thoughts amicably and find common ground despite differing opinions?",Agreeableness
japan,"During a team meeting at a Japanese company, the manager notices differing opinions on a project direction. Instead of allowing the disagreement to escalate, they encourage a discussion where everyone can express their views calmly and reach a consensus that all team members feel comfortable with.",20,Assume you are feeling stressed by the conflicting viewpoints in the room. What steps do you take to manage your emotions and maintain your composure so you can contribute effectively to the discussion?,Neuroticism
japan,"A group of friends is deciding where to eat dinner. Rather than one person insisting on their choice, they propose a few options and collectively agree on a restaurant that everyone enjoys, ensuring no one's preferences are disregarded.",21,Imagine you are exploring Tokyo with your friends looking for dinner. How would you approach the idea of trying a completely new and foreign cuisine that none of you have experienced before?,Openness to Experience
